à ,"to, at, in"
à côte de,"next to, beside"
après,after
au sujet de,"about, on the subject of"
avant,before
avec,with
chez,"at the home of, office of, among"
contre,against
dans,in
d’après,according to
de,"from, of, about"
depuis,"since, for"
derrière,behind
devant,in front of
durant,"during, while"
en,"in, on, to"
en dehors de,outside
en face de,"facing, across from"
entre,between
environ,approximately
hors de,outside
jusque,"until, up to, even"
loin de,far from
nalgré,despite
par,"by, through"
promi,among
pendant,during
pour,for
près de,near
quant à ,"as for, regarding"
sans,without
selon,according to
sous,under
suivant,according to
sur,on
vers,toward
