froid,cold
avis,notice
voix,voice
énergie,energy
chasse,hunt
probable,probable
lit,bed
frère,brother
œuf,egg
cellule,cell
croire,believe
peut-être,perhaps
choisir,pick
soudain,sudden
compter,count
carré,square
raison,reason
longueur,length
représenter,represent
art,art
sujet,subject
région,region
taille,size
varier,vary
régler,settle
poids,weight
général,general
glace,ice
cercle,circle
paire,pair
inclure,include
fracture,divide
syllabe,syllable
feutre,felt
grandiose,grand
balle,ball
vague,wave
tomber,drop
cœur,heart
présent,present
lourd,heavy
danse,dance
moteur,engine
position,position
bras,arm
large,wide
voile,sail
matériel,material
fraction,fraction
forêt,forest
s’asseoir,sit
course,race
fenêtre,window
magasin,store
train,train
sommeil,sleep
prouver,prove
seul,lone
jambe,leg
exercice,exercise
mur,wall
capture,catch
monture,mount
souhaiter,wish
ciel,sky
conseil,board
