comme ,"as, like"
je ,I
son ,"his, her, sound"
que ,"that, what, than"
il ,"he, it"
était ,was
pour ,for
sont ,are
avec ,with
ils ,they
être ,be
à ,"at, to"
un ,"one, a, an"
avoir ,have
ce ,this
partir ,leave
par ,"by, through"
chaud ,"hot, warm"
mot ,word
mais ,but
certains ,some
est ,"is, east"
vous ,you
ou ,or
eu ,"had, got"
la ,the
de ,"of, off"
et ,and
dans ,in
nous ,"we, us"
boîte ,"can, box"
dehors ,out
autre ,other
étaient ,were
qui ,"which, who"
faire ,"do, make"
leur ,their
temps ,time
si ,"if, so"
volonté ,will
comment ,how
chaque ,each
dire ,"tell, say"
ne ,does
ensemble ,"set, together, whole"
trois ,three
vouloir ,want
air ,air
bien ,well
aussi ,also
jouer ,play
petit ,small
fin ,"end, fine"
mettre ,put
maison ,"house, home"
lire ,read
main ,hand
port ,port
grand ,"large, big, great"
épeler ,spell
ajouter ,add
même ,"even, same"
terre ,"land, earth"
ici ,here
tel ,such
suivre ,follow
faut ,must
acte ,act
pourquoi ,why
interroger ,ask
hommes ,men
changement ,change
allé ,go
lumière ,light
gentil ,kind
besoin ,need
image ,picture
essayer ,try
encore ,"again, still, yet"
animal ,animal
point ,point
mère ,mother
monde ,world
près ,near
construire ,build
soi ,self
père ,father
tout ,any
nouveau ,new
travail ,work
partie ,part
prendre ,take
obtenir ,get
lieu ,place
fabriqué ,made
vivre ,live
où ,where
après ,after
arrière ,back
peu ,"little, few"
seulement ,only
tour ,"round, turn, ride"
homme ,man
année ,year
montrer ,show
tous ,"every, all"
bon ,good
moi ,me
donner ,give
notre ,our
sous ,under
nom ,"name, noun"
très ,very
juste ,just
forme ,"form, shape"
phrase ,sentence
penser ,think
aider ,help
faible ,low
ligne ,line
différer ,differ
cause ,cause
beaucoup ,"much, many"
signifier ,mean
avant ,"before, front"
déménagement ,(house) move
droit ,right
garçon ,boy
vieux ,old
trop ,too
elle ,she
là ,there
quand ,when
utiliser ,use
votre ,your
manière ,way
sur ,"on, about, over"
puis ,then
les ,them
écrire ,write
voudrais ,would
ces ,these
long ,long
chose ,thing
voir ,see
lui ,him
deux ,two
a ,has
regarder ,"look, watch"
jour ,day
pourrait ,could
aller ,go
venir ,come
fait ,"did, fact"
nombre ,number
aucun ,no
plus ,"more, most"
personnes ,people
ma ,my
savoir ,know
eau ,water
appel ,call
première ,first
peut ,may
vers ,"toward, towards"
côté ,side
été ,"been, summer"
maintenant ,now
trouver ,find
tête ,head
supporter ,stand
propre ,own
page ,page
devrait ,should
pays ,country
trouvé ,found
réponse ,answer
école ,school
croître ,grow
étude ,study
apprendre ,learn
usine ,factory
couvercle ,cover
nourriture ,food
soleil ,sun
quatre ,four
entre ,"between, among"
état ,state
garder ,keep
œil ,eye
jamais ,"never, ever"
dernier ,last
laisser ,"let, leave"
pensée ,thought
ville ,"city, town"
arbre ,tree
traverser ,cross
ferme ,farm
dur ,hard
début ,start
puissance ,"might, power"
histoire ,story
scie ,saw
loin ,far
mer ,sea
tirer ,"draw, pull"
gauche ,left
tard ,late
courir ,run
presse ,press
proche ,close
nuit ,night
réel ,real
vie ,life
nord ,north
livre ,"book, pound"
porter ,carry
a pris ,took
science ,science
manger ,eat
chambre ,room
ami ,friend
a commencé ,began
idée ,idea
poisson ,fish
montagne ,mountain
arrêtez ,stop
base ,base
entendre ,hear
cheval ,horse
couper ,cut
sûr ,sure
couleur ,color
face ,face
bois ,wood
principal ,main
ouvert ,open
paraître ,seem
suivant ,next
blanc ,white
enfants ,children
commencer ,begin
marcher ,walk
exemple ,example
facilité ,ease
papier ,paper
groupe ,group
toujours ,always
musique ,music
ceux ,those
marque ,mark
souvent ,often
lettre ,letter
mile ,mile
rivière ,river
voiture ,car
pieds ,feet
soins ,care
deuxième ,second
assez ,enough
plaine ,plain
fille ,girl
habituel ,usual
jeune ,young
prêt ,ready
au-dessus ,above
rouge ,red
liste ,list
sentir ,feel
parler ,"talk, speak"
oiseau ,bird
bientôt ,soon
corps ,body
chien ,dog
famille ,family
direct ,direct
pose ,pose
chanson ,song
mesurer ,measure
porte ,door
produit ,product
noir ,black
court ,short
chiffre ,numeral
classe ,class
vent ,wind
question ,"question, matter"
arriver ,happen
complète ,complete
navire ,ship
zone ,area
moitié ,half
rock ,rock
ordre ,order
feu ,fire
sud ,south
problème ,problem
pièce ,piece
dit ,"told, said"
savait ,knew
passer ,pass
depuis ,since
haut ,"top, high"
roi ,king
rue ,street
pouce ,inch
multiplier ,multiply
rien ,nothing
cours ,course
rester ,stay
roue ,wheel
plein ,full
force ,force
bleu ,blue
objet ,object
décider ,decide
surface ,surface
profond ,deep
lune ,moon
île ,island
pied ,foot
système ,system
occupé ,busy
test ,test
record ,record
bateau ,boat
commun ,common
or ,gold
possible ,possible
plan ,plan
place ,"space, room"
sec ,dry
se demander ,wonder
rire ,laugh
mille ,thousand
courir ,run
vérifier ,check
jeu ,game
assimiler ,assimilate
manquer ,miss
apporté ,brought
chaleur ,heat
neige ,snow
pneu ,tire
apporter ,bring
oui ,yes
lointain ,distant
remplir ,fill
peindre ,paint
langue ,"language, tongue"
unité ,unit
certain ,certain
voler ,fly
tomber ,fall
conduire ,lead
cri ,cry
sombre ,dark
machine ,machine
note ,note
patienter ,wait
figure ,figure
étoile ,star
domaine ,field
se reposer ,rest
correct ,correct
capable ,able
terminé ,done
beauté ,beauty
entraînement ,training
résisté ,stood up
contenir ,contain
enseigner ,teach
semaine ,week
finale ,final
donné ,gave
vert ,green
oh ,oh
rapide ,"quick, fast"
développer ,develop
océan ,ocean
gratuit ,free
minute ,minute
fort ,strong
spécial ,special
esprit ,mind
derrière ,behind
clair ,clear
queue ,tail
produire ,produce
espace ,space
entendu ,heard
meilleur ,best
heure ,hour
mieux ,better
vrai ,TRUE
pendant ,during
cent ,hundred
cinq ,five
rappeler ,remember
étape ,step
tôt ,early
tenir ,hold
ouest ,west
sol ,ground
intérêt ,interest
atteindre ,reach
verbe ,verb
chanter ,sing
écouter ,listen
six ,six
table ,table
voyage ,travel
moins ,less
matin ,morning
dix ,ten
simple ,simple
plusieurs ,several
voyelle ,vowel
guerre ,war
poser ,lay
contre ,against
modèle ,pattern
lent ,slow
centre ,center
amour ,love
personne ,person
argent ,money
servir ,serve
apparaître ,appear
route ,road
carte ,map
pluie ,rain
règle ,rule
gouverner ,govern
froid ,cold
avis ,notice
voix ,voice
énergie ,energy
chasse ,hunt
probable ,probable
lit ,bed
frère ,brother
œuf ,egg
cellule ,cell
croire ,believe
peut-être ,perhaps
choisir ,pick
soudain ,sudden
compter ,count
carré ,square
raison ,reason
longueur ,length
représenter ,represent
art ,art
sujet ,subject
région ,region
taille ,size
varier ,vary
régler ,settle
poids ,weight
général ,general
glace ,ice
cercle ,circle
paire ,pair
inclure ,include
fracture ,divide
syllabe ,syllable
feutre ,felt
grandiose ,grand
balle ,ball
vague ,wave
tomber ,drop
cœur ,heart
présent ,present
lourd ,heavy
danse ,dance
moteur ,engine
position ,position
bras ,arm
large ,wide
voile ,sail
matériel ,material
fraction ,fraction
forêt ,forest
s’asseoir ,sit
course ,race
fenêtre ,window
magasin ,store
train ,train
sommeil ,sleep
prouver ,prove
seul ,lone
jambe ,leg
exercice ,exercise
mur ,wall
capture ,catch
monture ,mount
souhaiter ,wish
ciel ,sky
conseil ,board
