il est jeune,he is young
elle est jeune,she is young
il est âgé,he is old
il est vieux,he is old
elle est âgée,she is old
elle est vieille,she is old
il est beau,he is pretty
elle est belle,she is pretty
il est laid,he is ugly
il est moche,he is ugly
elle est laide,she is ugly
elle est moche,she is ugly
il est grand,he is tall
elle est grande,she is tall
il est petit,he is short
elle est petite,she is short
il est gros,he is fat
il est obèse,he is fat
elle est grosse,she is fat
elle est obèse,she is fat
il est mince,he is skinny
elle est mince,she is skinny
elle a des cheveux noirs,she has black hair
elle est brune,she is brunette
elle a des cheveux châtain,she has brown hair
elle a des cheveux blonds,she has blonde hair
elle est blonde,she is blonde
elle a des cheveux roux,she has red hair
elle est rousse,she is red
elle a des cheveux gris,she has grey hair
il a les cheveux blancs,he has white hair
elle a les cheveux longs,she has long hair
elle a les cheveux courts,she has short hair
elle a les cheveux raides,she has straight hair
elle a les cheveux frisés,she has curly hair
elle a les cheveux bouclés,she has curly hair
elle a les cheveux ondulés,she has wavy hair
elle a les cheveux crépus,she has afro hair
elle a des grand yeux,she has big eyes
il a des petits yeux,he has small eyes
elle a les yeux noirs,she has black eyes
elle a les yeux marron,she has brown eyes
elle a les yeux bleus,she has blue eyes
elle a les yeux verts,she has green eyes
il a une barbe,he has a beard
il est barbu,he is bearded
il a une moustache,he has a mustache
il est moustachu,he is mustached
il est chauve,he is shaven
il est tatoué,he is tattooed
