la banque,bank
le bar,bar
la bibliothèque,library
la bijouterie,jeweller's shop
la boucherie,butcher's shop
la boulangerie,baker's shop
le cinéma,movie theater
la clinique,private hospital
le poste de police,police station
l'école primaire,primary school
le supermarché,supermarket
le fleuriste,florist's shop
la gare,train station
l'hôpital,hospital
l'hôtel,hotel
le parc,park
la librairie,bookstore
le lycée,high school
la mairie,city hall
le musée,museum
l'office de tourisme,tourist office
la pharmacie,drugstore
la poissonnerie,fish shop
la poste,post office
le restaurant,restaurant
le salon de coiffure,hairdressing salon
l'université,university
