Comment vous appelez-vous?,What's your name?
Comment allez-vous?,How are you?
Comment ça va?,How are you?
Comment ça s'écrit?,How do you spell that?
D'où venez-vous?,Where do you come from?
D'où viens-tu?,Where do you come from?
Quel âge avez-vous?,How old are you?
Qu'est-ce que vous étudiez?,What do you study?
Qu'est-ce que tu vas faire ce week-end?,What are you going to do this weekend?
Tu veux sortir avec nous ce soir?,Do you want to go out with us tonight?
À quelle heure commence le concert?,When does the concert start?
À quelle heure se termine le concert?,When does the concert end?
Qu'est-ce qui s'est passé?,What happened?
Quel est votre passe-temps préféré?,What is your hobby?
Quel est ton passe-temps préféré?,What is your hobby?
Parlez-vous anglais?,Do you speak English?
Quelle heure est-il?,What time is it?
À quelle heure part le train pour Marseille?,What time does the train depart for Marseille?
Quel temps fait-il aujourd'hui?,What's the weather like today?
Quel jour sommes-nous?,What day is it?
Où se trouve…?,Where is…(specific thing) found?
Où est …?,Where is…?
Comment va-t-on à…?,How do I get to…?
Combien ça coûte?,How much does this cost?
Vous faites quoi comme métier?,What's your occupation?
Pouvez-vous traduire pour moi?,Can you translate for me?
Peux-tu m'expliquer en français?,Can you explain in French to me?
Peux-tu m'expliquer en anglais?,Can you explain in English to me?
Est-ce que tu me comprends?,Do you understand?
"Pourriez-vous répéter, s'il vous plaît?","Can you repeat that, please?"
Pouvez-vous parler plus lentement?,Can you speak slower?
Qu'est-ce qui se passe?,What's happening?
Qu'est-ce que tu entends par …?,What do you mean by … ?
Il fait combien de degrés?,What temperature is it?
Il fait quel temps?,What is the weather?
